molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,inactive,100000.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,inactive,29000.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL4065538,COc1nc(N)ncc1-c1cn(COCCOC(C)=O)cn1,inactive,44000.0,307.31,0.46809999999999974,1.0,9.0
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,inactive,100000.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,inactive,27200.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL3596788,COc1nc(N)ncc1-c1cn(COCCO)cn1,intermediate,2200.0,265.27299999999997,-0.10270000000000018,2.0,8.0
CHEMBL4093197,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OCCOCn1cnc(-c2cnc(N)nc2OC)c1)Oc1ccccc1,intermediate,7000.0,576.5910000000003,4.066200000000002,2.0,12.0
CHEMBL4065538,COc1nc(N)ncc1-c1cn(COCCOC(C)=O)cn1,inactive,20000.0,307.31,0.46809999999999974,1.0,9.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,20000.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,86.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,inactive,20000.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,140.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL2016757,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,intermediate,1500.0,291.267,-1.8567200000000001,4.0,9.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,70.0,602.5850000000002,2.3121799999999997,4.0,13.0
CHEMBL4080961,Nc1nccc2c1ncn2[C@H]1C=C[C@H](O)[C@@H]1O,active,29.5,232.24300000000002,-0.15380000000000027,3.0,6.0
CHEMBL4097787,Nc1ncc(Br)c2c1ncn2[C@H]1C=C[C@H](O)[C@@H]1O,active,8.3,311.139,0.6087,3.0,6.0
CHEMBL4172550,COc1cc(-c2cnc3c(N4C[C@H](C)O[C@H](C)C4)snc3c2)ccc1N,intermediate,2436.0,370.47800000000007,3.5627000000000013,1.0,7.0
CHEMBL4163357,COc1cc(-c2cnc3c(N4CCO[C@H](C)C4)snc3c2)ccc1N,intermediate,4345.0,356.451,3.174200000000001,1.0,7.0
CHEMBL4174075,COc1cc(-c2cnc3c(N4CCO[C@@H](C)C4)snc3c2)ccc1N,intermediate,2728.0,356.451,3.174200000000001,1.0,7.0
CHEMBL4159994,COc1cc(-c2cnc3c(N4CCOC(C)C4)snc3c2)ccc1N,intermediate,2001.0,356.451,3.174200000000001,1.0,7.0
CHEMBL3425867,COc1cc(-c2cnc3c(N4CCOCC4)snc3c2)ccc1N,inactive,11860.0,342.42400000000004,2.7857000000000003,1.0,7.0
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,280.0,573.7340000000003,4.419100000000004,1.0,6.0
CHEMBL4205782,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,210.0,624.1500000000002,4.298500000000003,1.0,6.0
CHEMBL4208258,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,12.0,611.1550000000002,4.3316000000000034,2.0,6.0
CHEMBL4203388,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,9.0,623.1660000000003,4.3316000000000034,2.0,6.0
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,160.0,573.7340000000003,4.419100000000004,1.0,6.0
CHEMBL4205782,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,140.0,624.1500000000002,4.298500000000003,1.0,6.0
CHEMBL4208258,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,52.0,611.1550000000002,4.3316000000000034,2.0,6.0
CHEMBL4203388,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,17.0,623.1660000000003,4.3316000000000034,2.0,6.0
CHEMBL2323039,COC(=O)c1ccc(COc2ccccc2CN2CCN(C(=O)CNC(=O)CC34CC5CC(CC(C5)C3)C4)CC2)cc1,active,590.0,573.7340000000003,4.419100000000004,1.0,6.0
CHEMBL4205782,CS(=O)(=O)c1ccc(COc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,420.0,624.1500000000002,4.298500000000003,1.0,6.0
CHEMBL4208258,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)CC3CCC(F)(F)CC3)CC2)cc1,active,33.0,611.1550000000002,4.3316000000000034,2.0,6.0
CHEMBL4203388,CS(=O)(=O)c1ccc(CNc2ccc(Cl)cc2CN2CCN(C(=O)CNC(=O)C3CC34CCC(F)(F)CC4)CC2)cc1,active,35.0,623.1660000000003,4.3316000000000034,2.0,6.0
CHEMBL4212624,CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,intermediate,3000.0,342.69699999999995,5.601400000000004,1.0,1.0
CHEMBL4217574,Clc1ccc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,intermediate,7100.0,384.9950000000002,5.167600000000005,0.0,2.0
CHEMBL4211634,Clc1cc(Cl)cc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,intermediate,6100.0,419.4400000000002,5.821000000000006,0.0,2.0
CHEMBL4206756,Clc1ccc(CCCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,intermediate,5800.0,419.44000000000017,5.821000000000006,0.0,2.0
CHEMBL4208233,Clc1cc(Cl)cc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,intermediate,5700.0,405.41300000000024,5.430900000000006,0.0,2.0
CHEMBL4203360,Clc1ccc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,intermediate,6800.0,405.4130000000001,5.430900000000006,0.0,2.0
CHEMBL4203879,Clc1ccc(CCN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,intermediate,6000.0,370.96800000000013,4.777500000000004,0.0,2.0
CHEMBL4215553,O=S(=O)(c1ccc(Cl)cc1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,21800.0,406.9790000000002,3.923700000000003,0.0,3.0
CHEMBL4217037,N#Cc1cccc(S(=O)(=O)N2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,inactive,69400.0,397.5440000000002,3.141980000000002,0.0,4.0
CHEMBL4212060,O=S(=O)(c1cccs1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,33200.0,378.56300000000016,3.331800000000002,0.0,4.0
CHEMBL4212614,O=S(=O)(c1cc(Cl)cc(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,10600.0,441.4240000000003,4.577100000000004,0.0,3.0
CHEMBL4207706,O=S(=O)(c1ccc(Cl)c(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,24100.0,441.4240000000003,4.577100000000004,0.0,3.0
CHEMBL4206112,O=C(c1ccc(Cl)c(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,49000.0,405.36900000000026,5.028600000000005,0.0,2.0
CHEMBL4211002,O=C(c1ccc(Cl)cc1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,34100.0,370.9240000000002,4.375200000000003,0.0,2.0
CHEMBL4211416,O=C(c1cc(Cl)cc(Cl)c1)N1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,39800.0,405.36900000000026,5.028600000000005,0.0,2.0
CHEMBL4216378,Fc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,inactive,17000.0,340.4860000000001,4.220700000000004,0.0,2.0
CHEMBL4215857,FC(F)(F)Oc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,inactive,10400.0,406.4920000000002,4.980200000000004,0.0,3.0
CHEMBL4204187,C1=C2CCCN(Cc3ccccc3)[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,inactive,15200.0,322.4960000000002,4.0816000000000034,0.0,2.0
CHEMBL4202702,COc1cccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,inactive,12100.0,352.5220000000001,4.090200000000004,0.0,3.0
CHEMBL4207565,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1Cl,intermediate,4800.0,391.3860000000002,5.388400000000005,0.0,2.0
CHEMBL4207052,Clc1cc(Cl)cc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c1,intermediate,8100.0,391.3860000000002,5.388400000000005,0.0,2.0
CHEMBL4211932,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)c(Cl)c1,intermediate,6600.0,391.3860000000002,5.388400000000005,0.0,2.0
CHEMBL4203365,Cc1ccccc1CN1CCCC2=C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]21,inactive,16600.0,336.52300000000014,4.390020000000004,0.0,2.0
CHEMBL4205951,Clc1ccc(CN2CCCC3=C[C@H]4C[C@H](CN5CCCC[C@H]45)[C@@H]32)cc1,inactive,11900.0,356.94100000000014,4.735000000000004,0.0,2.0
CHEMBL3329704,C1=C2CCCN[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,inactive,12400.0,232.37099999999995,2.1690000000000005,1.0,2.0
CHEMBL4285617,Nc1cccc2c1ncn2[C@@H]1C(F)=C(CO)[C@@H](O)[C@H]1O,active,360.0,279.27099999999996,0.11089999999999989,4.0,6.0
CHEMBL4277261,Nc1ccnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,intermediate,4000.0,262.269,-0.7913000000000003,4.0,7.0
